Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Arlington,Arlington-2018,0,Fully,12,4,15,200000,495000,AR1R3,0,0,0,89.31,6006.1,1982,2642.7,3303.4,219.2,114.5,333.7,1648.3,2309,2969.6,0
2018,Arlington,Arlington-2018,0,Fully,9,2,15,170000,420000,AR1R3,0,0,0,89.9,6045.8,1995.1,2660.1,3325.2,186,114.5,300.5,1694.6,2359.6,3024.7,0
2018,Arlington,Arlington-2018,0,Fully,12,3,15,200000,495000,AR1R3,0,0,0,90.77,6104.3,2014.4,2685.9,3357.4,219.2,114.5,333.7,1680.7,2352.2,3023.6,0
2018,Arlington,Arlington-2018,0,Fully,12,2,15,200000,495000,AR1R3,0,0,0,98.14,6599.9,2178,2904,3630,219.2,114.5,333.7,1844.2,2570.2,3296.2,0
2018,Arlington,Arlington-2018,0,Fully,15,1,30,110000,270000,AR1R3,0,0,0,60.3,4055.2,1338.2,1784.3,2230.3,119.6,114.5,234.1,1104.1,1550.2,1996.3,0
2018,Arlington,Arlington-2018,0,Fully,15,2,30,110000,270000,AR1R3,0,0,0,62.79,4222.6,1393.5,1858,2322.4,119.6,114.5,234.1,1159.4,1623.9,2088.4,0
2018,Arlington,Arlington-2018,0,Fully,18,1,30,140000,345000,AR1R3,0,0,0,69.97,4705.5,1552.8,2070.4,2588,152.8,114.5,267.3,1285.5,1803.1,2320.7,0
2018,Arlington,Arlington-2018,0,Fully,18,3,30,140000,345000,AR1R3,0,0,0,72.7,4889.1,1613.4,2151.2,2689,152.8,114.5,267.3,1346.1,1883.9,2421.7,0
2018,Arlington,Arlington-2018,0,Fully,21,2,30,170000,420000,AR1R3,0,0,0,77.19,5191,1713,2284.1,2855.1,186,114.5,300.5,1412.5,1983.5,2554.5,0
2018,Arlington,Arlington-2018,0,Fully,15,3,30,110000,270000,AR1R3,0,0,0,77.44,5207.8,1718.6,2291.4,2864.3,119.6,114.5,234.1,1484.5,2057.4,2630.2,0
2018,Arlington,Arlington-2018,0,Fully,15,4,30,110000,270000,AR1R3,0,0,0,78.62,5287.2,1744.8,2326.4,2908,119.6,114.5,234.1,1510.7,2092.3,2673.9,0
2018,Arlington,Arlington-2018,0,Fully,24,3,30,200000,495000,AR1R3,0,0,0,80.89,5439.9,1795.2,2393.5,2991.9,219.2,114.5,333.7,1461.4,2059.8,2658.2,0
2018,Arlington,Arlington-2018,0,Fully,18,2,30,140000,345000,AR1R3,0,0,0,81.16,5458,1801.1,2401.5,3001.9,152.8,114.5,267.3,1533.8,2134.2,2734.6,0
2018,Arlington,Arlington-2018,0,Fully,18,4,30,140000,345000,AR1R3,0,0,0,81.22,5462,1802.5,2403.3,3004.1,152.8,114.5,267.3,1535.2,2136,2736.8,0
2018,Arlington,Arlington-2018,0,Fully,21,4,30,170000,420000,AR1R3,0,0,0,81.75,5497.7,1814.2,2419,3023.7,186,114.5,300.5,1513.7,2118.5,2723.2,0
2018,Arlington,Arlington-2018,0,Fully,24,2,30,200000,495000,AR1R3,0,0,0,82.8,5568.3,1837.5,2450.1,3062.6,219.2,114.5,333.7,1503.8,2116.3,2728.8,0
